index,question_type,original_answer,ground_truth,open_ended_correct,open_ended_q1_correct,open_ended_q2_correct,open_ended_q3_correct,open_ended_q4_correct
132,diagnosis,C,Fibrofatty replacement of the myocardium,False,False,False,False,False
133,diagnosis,C,Ebstein anomaly,True,True,True,True,False
134,diagnosis,B,Cardiac contusion,True,True,True,False,False
135,cause,D,Pulmonary arteriovenous malformations,False,False,False,False,False
136,diagnosis,A,Cholesterol embolism,False,False,False,False,False
137,diagnosis,C,Bacterial overgrowth,False,False,False,False,False
138,explanation,E,Venous valve dysfunction,False,False,True,False,False
139,diagnosis,C,Esophageal perforation,True,True,True,False,True
140,diagnosis,C,Oligoarticular juvenile idiopathic arthritis,True,True,True,True,True
141,cause,G,Bacterial infection from ethmoidal sinus,True,False,False,True,False
142,diagnosis,B,ASCA positivity,False,False,False,False,False
143,diagnosis,E,Sideroblastic anemia,True,True,True,True,True
144,diagnosis,B,Paroxysmal stage,True,False,False,False,False
145,diagnosis,E,Splenic abscess,True,False,False,False,True
146,diagnosis,H,Borderline personality disorder,True,True,True,False,True
147,cause,D,Reactivation of VZV due to immunodeficiency caused by chemotherapy,True,True,True,True,True
148,test,C,Pleomorphic cells forming pseudopalisades,True,False,False,False,False
149,diagnosis,B,Pituitary apoplexy,True,True,True,True,True
150,other,A,Sickle cell disease (SCD),False,True,True,True,True
151,diagnosis,G,Syringomyelia,True,True,True,True,True
152,cause,E,Anti-glomerular basement membrane antibodies,True,True,True,True,True
153,diagnosis,C,Crohn's disease,True,True,True,False,True
154,other,B,Gallbladder cancer,True,False,True,False,False
155,diagnosis,D,Small cell lung cancer,False,False,False,False,False
156,cause,E,Detachment of the placenta,True,True,True,True,True
157,diagnosis,G,Acute pancreatitis,True,True,True,False,True
158,diagnosis,E,Pyogenic brain abscess,True,True,True,False,True
159,cause,E,Vitamin K deficiency,True,True,True,True,True
160,staging,D,Acute HIV infection,True,True,True,True,True
161,diagnosis,A,Critical limb ischemia,True,True,True,True,True
162,medication,A,Cocaine,False,False,False,False,True
163,diagnosis,D,Chronic myelogenous leukemia,True,True,True,True,True
164,diagnosis,A,Focal to bilateral tonic-clonic seizure,True,True,True,False,True
165,cause,E,Hypertensive emergency,True,False,True,True,True
166,diagnosis,A,Pyelonephritis,True,True,True,True,True
167,cause,B,Glanzmann’s thrombasthenia,True,True,True,True,False
168,diagnosis,A,Bronchoalveolar lavage,True,False,False,False,False
169,cause,B,Hypertrophic cardiomyopathy,True,True,True,True,True
170,diagnosis,B,"Chronic, non-bacterial prostatitis",True,True,True,False,True
171,diagnosis,F,Angle-closure glaucoma,True,True,True,False,True
172,diagnosis,E,Roseola infantum,True,True,True,True,True
173,diagnosis,E,Intraventricular hemorrhage,True,True,True,False,True
174,diagnosis,F,Chronic myeloid leukemia,True,True,True,True,True
175,cause,F,Right anterior cerebral artery occlusion,True,True,True,True,True
176,diagnosis,F,Meningioma,True,True,True,False,True
177,diagnosis,C,Gallstone pancreatitis,False,False,False,False,False
178,diagnosis,E,Vibrio parahaemolyticus infection,True,True,True,False,True
179,diagnosis,A,Hodgkin lymphoma,True,True,True,False,True
180,diagnosis,D,Boerhaave syndrome,True,True,True,False,True
181,diagnosis,A,Separation anxiety disorder,True,True,True,False,True
182,diagnosis,D,Schizoaffective disorder,True,True,False,True,False
183,diagnosis,D,Malingering,True,True,True,False,True
184,cause,D,Hypovolemic shock,True,True,True,True,True
185,diagnosis,B,Vasovagal syncope,True,True,True,False,True
186,diagnosis,D,Chronic lymphocytic leukemia,True,True,True,True,True
187,findings,D,Chronic graft rejection,True,True,True,True,True
188,description,A,Pancreatic pseudocyst,True,True,True,True,True
189,cause,A,Acute hemolytic transfusion reaction,True,True,True,True,True
190,diagnosis,B,Ischemic bowel disease,True,True,True,False,True
191,diagnosis,C,Bronchiectasis,True,True,True,True,True
192,cause,A,Asthma attack,True,True,True,True,True
193,explanation,A,Acute myeloid leukemia,True,True,True,True,True
194,diagnosis,E,Focal seizure,True,True,True,False,True
195,cause,E,Sigmoid tumor,True,False,True,True,True
196,diagnosis,C,Korsakoff's syndrome,True,True,True,False,True
197,explanation,F,Retroperitoneal hemorrhage,True,True,True,True,True
198,diagnosis,E,Toxic epidermal necrolysis (TEN),True,True,True,False,True
199,diagnosis,D,Contrast esophagram,True,False,False,False,False
200,diagnosis,D,Conus medullaris syndrome,False,False,False,False,False
201,cause,A,Hypothyroidism,False,False,False,False,False
202,diagnosis,A,Obstruction of the nasolacrimal duct,False,False,False,False,False
203,injury,A,Anterior talofibular ligament (ATFL) sprain,True,True,True,True,True
204,diagnosis,D,Volvulus,True,True,True,False,True
205,diagnosis,H,Aromatase deficiency,True,True,True,True,True
206,diagnosis,E,Hypertensive emergency,True,True,True,False,True
207,diagnosis,A,Goodpasture syndrome,True,True,True,True,True
208,diagnosis,G,Diverticulitis,True,True,True,False,True
209,diagnosis,D,CMV retinitis,True,True,True,False,True
210,diagnosis,E,Somatic symptom disorder,True,False,False,False,False
211,cause,C,Senile calcific aortic stenosis,False,False,False,False,False
212,diagnosis,C,Thrombotic thrombocytopenic purpura,True,True,True,True,True
213,cause,B,Pleural effusion,True,True,True,True,False
214,diagnosis,D,Wilms' tumor,True,True,True,False,True
215,cause,E,Right main coronary artery occlusion,False,False,False,False,False
216,diagnosis,B,Pancreatitis,True,True,True,False,True
217,diagnosis,E,Granulomatosis with polyangiitis,True,True,True,False,True
218,diagnosis,E,Intussusception,True,True,True,False,True
219,diagnosis,D,Acute gout,True,True,True,True,True
220,diagnosis,C,Posterior cruciate ligament injury,True,True,True,False,True
221,diagnosis,D,Poor dietary intake,False,False,False,False,False
222,findings,A,Acute myeloid leukemia,True,True,True,True,True
223,diagnosis,E,Laryngeal carcinoma,True,True,True,False,True
224,diagnosis,D,Bulimia nervosa,True,True,True,False,True
225,diagnosis,C,Acute mesenteric ischemia,True,True,True,False,True
226,diagnosis,B,Signet ring cells,True,False,False,False,False
227,explanation,G,Somatic symptom disorder,True,False,True,True,True
228,diagnosis,B,Acute myelogenous leukemia,False,False,False,False,False
229,diagnosis,E,Progressive multifocal leukoencephalopathy,True,True,True,False,True
230,diagnosis,A,Adjustment disorder,True,True,True,False,True
231,cause,F,Deficient glucose-6-phosphate dehydrogenase,True,True,True,True,True
232,explanation,B,Cholesteatoma,True,True,False,True,True
233,diagnosis,C,α1-antitrypsin-deficiency,True,True,True,False,True
234,diagnosis,C,Pancreatitis,True,True,True,False,True
235,cause,E,Hemophilia A,True,True,True,True,True
236,diagnosis,B,Rotator cuff tear,True,True,True,True,True
237,diagnosis,B,Retinal detachment,True,True,True,False,True
238,cause,B,Methemoglobinemia,True,True,True,True,True
239,diagnosis,A,Aplastic anemia,True,True,True,False,True
240,diagnosis,A,Alcoholic hallucinosis,True,True,True,False,True
241,diagnosis,C,Bacillus cereus infection,True,False,False,False,True
242,diagnosis,D,Unstable angina,True,True,True,False,True
243,diagnosis,E,Pleural empyema,True,True,True,False,True
244,prognosis,B,Left ventricular dilatation in a spherical pattern with poor systolic function,True,False,False,False,False
245,diagnosis,E,Placenta previa,True,True,True,False,True
246,diagnosis,C,Acute limb ischemia,True,True,True,False,True
247,diagnosis,E,Thoracic aortic rupture,True,True,True,True,True
248,diagnosis,A,Esophageal atresia,True,True,True,True,True
249,diagnosis,E,Alopecia areata,True,True,True,False,True
250,diagnosis,G,Oligoarticular juvenile idiopathic arthritis,True,True,True,False,True
251,diagnosis,A,Babesiosis,True,True,True,False,True
252,diagnosis,E,G6PD deficiency,True,True,True,True,True
253,diagnosis,E,Hyperosmolar hyperglycemic state,True,True,True,False,True
254,diagnosis,A,Acute coronary syndrome,False,False,False,False,False
255,diagnosis,A,Malignant otitis externa,True,True,True,False,True
256,diagnosis,A,Normal labor,False,False,False,False,False
257,diagnosis,C,Acute decompensated heart failure,True,True,True,False,True
258,diagnosis,B,Mid-gut Volvulus,True,True,True,False,True
259,diagnosis,E,Gaucher disease type I,True,True,True,False,True
260,other,B,Disseminated intravascular coagulation,True,True,True,True,True
261,diagnosis,F,Meningioma,True,True,True,False,True
262,diagnosis,A,Acute pericarditis,True,True,True,False,True
263,diagnosis,D,Sexual masochism,True,True,True,False,True
264,cause,D,Hepatorenal syndrome,True,True,False,True,True
265,cause,D,Glucose 6-phosphatase,True,False,True,True,True
266,diagnosis,B,Acute fatty liver of pregnancy,True,True,True,True,True
267,cause,A,Viscous distension of gallbladder,False,False,False,False,False
268,diagnosis,B,Neuroblastoma,True,False,False,False,False
269,diagnosis,E,Medial collateral ligament injury,True,True,True,False,True
270,diagnosis,A,Inferior wall myocardial infarction ,True,True,True,False,True
271,complication,B,Medullary thyroid cancer,True,False,False,False,False
272,diagnosis,A,Intrinsic apoptotic pathway,False,False,False,False,False
273,cause,E,Spontaneous pneumothorax,True,True,True,True,True
274,diagnosis,C,Interstitial lung disease,False,False,False,False,False
275,diagnosis,D,Chronic Myelogenous Leukemia (CML),True,True,True,False,True
276,diagnosis,C,Friable irregular masses attached to the valve,False,False,False,False,False
277,description,A,Separation of the placenta from the decidua,True,False,False,False,False
278,diagnosis,A,Interstitial pregnancy,True,True,True,False,True
279,diagnosis,C,Pancoast tumor,True,True,True,False,True
280,diagnosis,C,Legg-Calve-Perthes disease,False,False,False,False,False
281,cause,B,Fat embolism,True,True,True,True,True
282,diagnosis,D,Carotid sinus hypersensitivity,True,True,True,True,True
283,diagnosis,C,Major blood group incompatibility,True,True,True,False,True
284,findings,B,Small bowel ischemia,True,True,True,True,True
285,diagnosis,F,Neuroblastoma,True,True,True,True,True
286,diagnosis,D,Mesenteric artery occlusion,True,True,True,False,False
287,cause,A,Charcot-Bouchard aneurysm rupture,True,True,True,True,True
288,diagnosis,E,Hemophilia,True,True,True,True,True
289,explanation,A,Eosinophilic granulomatosis with polyangiitis (EGPA),True,True,True,True,True
290,diagnosis,C,Aortic dissection,True,True,True,True,True
291,diagnosis,D,Necrotizing fasciitis,False,False,False,False,False
292,cause,A,Acute tubular necrosis,True,True,True,True,True
293,diagnosis,A,Abdominal aortic aneurysm,True,True,True,False,True
294,diagnosis,E,Severe preeclampsia,True,True,True,False,True
295,diagnosis,A,Chronic benign neutropenia,False,True,True,False,True
296,explanation,G,Transfusion-associated circulatory overload,True,True,True,True,True
297,diagnosis,D,Von Willebrand disease,False,False,False,False,False
298,diagnosis,C,Schizoaffective disorder,True,False,False,False,True
299,other,D,Frostbite,True,True,True,True,True
300,diagnosis,C,Epidural hematoma,True,True,True,False,True
301,diagnosis,C,Obsessive compulsive disorder (OCD),True,True,True,False,True
302,diagnosis,E,Gastroesophageal reflux disease,True,True,True,False,True
303,other,D,Prostate cancer,False,False,False,False,True
304,explanation,F,Synthetic cathinone intoxication,False,False,False,False,False
305,diagnosis,A,Hirschsprung’s disease,True,True,True,False,True
306,diagnosis,D,Temporomandibular joint dysfunction,True,True,True,False,True
307,organism,D,Human papillomavirus,True,False,False,True,False
308,explanation,D,Toxic tubulointerstitial nephritis,True,False,True,True,True
309,cause,B,Lymphoma,True,True,True,True,True
310,diagnosis,B,Chronic lymphocytic leukemia,True,True,True,True,True
311,diagnosis,B,Chorioamnionitis,True,True,True,True,True
312,diagnosis,B,Cutaneous leishmaniasis,True,True,True,False,True
313,diagnosis,C,Mediastinitis,True,False,False,False,True
314,diagnosis,A,Hordeolum,True,True,True,True,True
315,diagnosis,C,Sickle cell trait,True,False,False,False,False
316,diagnosis,E,Acute hepatitis B,True,True,True,False,True
317,cause,A,Prolonged QT interval,True,True,False,True,False
318,cause,B,Closed angle glaucoma,True,True,True,True,True
319,diagnosis,C,Guillain-Barré syndrome,True,True,True,False,True
320,diagnosis,A,Liposarcoma,True,True,True,False,True
321,imaging,B,Midshaft humerus,True,False,False,True,False
322,other,C,Iron,True,True,True,True,True
323,other,C,Acute pericarditis,True,True,True,True,True
324,diagnosis,E,Toxic multinodular goiter,True,True,True,True,True
325,diagnosis,D,Bronzing of the skin and elevated blood glucose levels,False,False,False,False,False
326,cause,C,Anemia of chronic disease,True,True,True,True,True
327,diagnosis,D,Papillary necrosis,True,True,True,True,True
328,diagnosis,D,Acute pericarditis,True,True,True,False,True
329,diagnosis,E,Conversion disorder,True,True,True,True,True
330,cause,E,Acute tubular necrosis,True,True,True,True,True
331,diagnosis,G,Chondrosarcoma,False,False,False,False,False
332,diagnosis,C,Bipolar I disorder,True,True,True,False,True
333,other,D,Acute tubular necrosis,True,True,True,True,True
334,diagnosis,G,Pelvic inflammatory disease,True,True,True,False,True
335,diagnosis,A,Bronchiectasis,True,True,True,False,True
336,cause,C,Medication side effect,True,False,False,False,False
337,diagnosis,E,Subacute granulomatous thyroiditis,True,False,True,False,True
338,diagnosis,C,Pelvic inflammatory disease,True,True,True,False,True
339,diagnosis,C,Somatization disorder,True,True,True,False,True
340,diagnosis,C,Pyelonephritis,True,True,True,True,True
341,cause,F,Enterococcus faecalis infection,True,False,True,True,True
342,diagnosis,E,"Ludwig angina
""",True,True,True,True,True
343,other,C,Keloid scar formation,True,True,True,True,True
344,diagnosis,C,Fulminant hepatic failure,True,True,True,True,True
345,diagnosis,B,Dubin-Johnson syndrome,True,True,True,True,True
346,diagnosis,D,Infectious mononucleosis,True,True,True,False,True
347,diagnosis,D,Acute cholangitis,True,True,True,False,True
348,cause,E,Osgood-Schlatter disease,True,True,True,True,True
349,diagnosis,A,Acute leukemia,True,True,True,True,True
350,test,D,Acute lymphoblastic leukemia,True,False,False,False,False
351,explanation,C,Acute ventricular septal rupture complicating myocardial infarction,True,True,True,True,True
352,explanation,A,Monoclonal protein overproduction,True,False,False,True,True
353,cause,B,Central sleep apnea,True,True,True,True,True
354,other,E,Corneal deposits,True,False,True,True,True
355,diagnosis,D,Acute otitis media,True,True,True,False,True
356,cause,G,Traction apophysitis of the tibial tubercle,True,True,True,True,True
357,cause,D,Subarachnoid Hemorrhage,True,True,True,True,True
358,mechanism,B,Sick euthyroid syndrome,True,True,False,True,True
359,diagnosis,A,Prominent vertical nystagmus,True,False,False,False,False
360,imaging,E,Spleen,True,True,True,True,True
361,organism,A,Coccidioides species,True,True,True,True,True
362,cause,D,Reperfusion associated edema,False,False,False,False,False
363,cause,D,Acute respiratory distress syndrome,True,True,True,True,True
364,prognosis,A,Acute lymphoblastic leukemia,False,False,False,False,False
365,diagnosis,B,CNS lymphoma,True,True,True,False,True
366,description,A,Pulmonary embolism,False,False,False,False,False
367,explanation,B,Hydrochlorothiazide,False,False,False,False,False
368,cause,A,Inflammation and edema,False,False,False,False,False
369,diagnosis,B,Dacryocystitis,False,False,False,False,False
370,diagnosis,E,Lung cancer,False,False,False,False,False
371,cause,A,Escherichia coli infection,True,True,True,True,True
372,diagnosis,C,Syringomyelia,True,True,True,False,True
373,diagnosis,A,Abruptio placentae,True,True,True,False,True
374,explanation,G,Papillary muscle rupture,True,True,True,True,True
375,diagnosis,A,Abnormal cilia motility,False,True,False,False,False
376,diagnosis,D,Placental abruption,True,True,True,False,True
377,diagnosis,B,Bicuspid aortic valve,True,False,False,False,False
378,imaging,D,Pericarditis,True,True,True,True,True
379,diagnosis,F,Epidural hematoma,True,True,True,False,True
380,cause,B,Autoimmune adrenalitis,False,False,False,True,False
381,diagnosis,A,Roseola,True,True,True,True,True
382,diagnosis,C,Gambling disorder,True,True,True,True,True
383,imaging,E,Figure E,False,False,False,False,False
384,cause,A,Canalithiasis,True,True,True,True,True
385,diagnosis,D,Hemophilia A,True,True,True,False,True
386,explanation,D,Pulmonary fibrosis,True,True,True,True,True
387,diagnosis,A,Aortic dissection,True,True,True,False,True
388,diagnosis,H,Narcissistic personality disorder,True,True,False,False,True
389,diagnosis,B,Pneumonia,True,True,True,False,True
390,diagnosis,A,Benign tumor of the thymus,True,True,True,False,True
391,diagnosis,B,Henoch-Schonlein purpura,True,True,True,True,True
392,explanation,I,Mood stabilizer intake,False,False,False,False,False
393,diagnosis,C,Pulmonary contusion,True,True,True,False,True
394,diagnosis,A,Transient global amnesia,True,True,True,True,True
395,diagnosis,B,Liver abscess,False,False,False,False,False
396,other,D,Multiple myeloma,False,True,False,True,True
397,other,D,Missed dose of venlafaxine,False,False,False,False,False
398,cause,B,ß-cell hyperplasia,False,False,False,False,True
399,diagnosis,C,Cavernous sinus thrombosis,True,True,True,True,True
400,diagnosis,A,Femoropopliteal artery stenosis,False,True,True,False,True
401,diagnosis,D,Hemolytic uremic syndrome,True,True,True,True,True
402,cause,D,Papillary muscle rupture,False,False,False,False,False
403,diagnosis,C,Schizoaffective disorder,True,True,True,False,True
404,cause,D,Carbon monoxide poisoning,True,True,True,True,True
405,diagnosis,C,Brown-Sequard syndrome,True,True,True,False,True
406,diagnosis,C,Rubella,True,True,True,False,True
407,other,E,Chronic obstructive bronchitis,True,False,False,False,False
408,diagnosis,E,Placenta abruption,True,True,True,False,True
409,other,C,Tension pneumothorax,False,False,False,False,False
410,other,D,Infection of the umbilical stump,False,True,False,False,False
411,imaging,C,Mucosal arteriovenous malformations,False,False,False,False,False
412,diagnosis,E,Adenocarcinoma,True,True,True,False,True
413,cause,A,Leydig cell tumor,True,True,False,True,True
414,cause,E,Heroin overdose,False,False,True,False,False
415,diagnosis,D,Local anal trauma,False,False,False,False,False
416,cause,A,Acute calculous cholecystitis,True,True,True,True,True
417,diagnosis,C,Placenta previa,True,True,True,False,True
418,diagnosis,A,Central retinal artery occulsion,True,True,True,False,True
419,cause,E,Toxin ingestion from non-spore-forming organism,True,True,True,True,False
420,diagnosis,B,Emphysematous cholecystitis,True,True,True,False,True
421,diagnosis,A,The most likely diagnosis is cauda equina syndrome and steroids should be started prior to MRI,True,True,True,False,False
422,diagnosis,A,Factitious thyrotoxicosis,False,False,False,False,False
423,diagnosis,D,Posttraumatic stress disorder,True,True,True,False,True
424,cause,E,Subdural hematoma,True,True,True,False,True
425,diagnosis,E,Antibody binding of leukocytes,False,False,False,False,False
426,diagnosis,C,Prepatellar bursitis,True,True,True,False,True
427,diagnosis,H,"Eosinophilic granulomatosis with polyangiitis
""",True,True,True,True,True
428,diagnosis,G,Leukocytoclastic vasculitis,False,False,False,False,False
429,diagnosis,D,Thrombotic thrombocytopenic purpura,True,True,True,True,True
430,diagnosis,D,Progressive multifocal encephalopathy (PML),True,True,True,True,True
431,diagnosis,D,Acute bacterial parotitis,True,True,True,False,True
432,diagnosis,C,Bronchial rupture,True,False,True,False,True
433,description,F,Adenocarcinoma of pancreas,True,False,False,False,False
434,diagnosis,D,Dermatomyositis,True,True,True,False,True
435,diagnosis,A,Aplastic crisis,True,False,True,False,True
436,cause,D,Acute exacerbation of chronic obstructive pulmonary disease,True,False,True,True,True
437,diagnosis,D,Bartonella henselae infection,True,True,True,False,True
438,cause,A,α1-antitrypsin (AAT) deficiency,True,True,False,True,False
439,diagnosis,G,Anti-HEV IgM,True,False,False,False,False
440,diagnosis,B,Gitelman’s syndrome,True,True,False,False,True
441,diagnosis,B,Insulinoma,True,True,True,False,True
442,other,C,Clear-cell carcinoma,True,False,True,False,True
443,diagnosis,A,Acute lymphoblastic leukemia,True,True,True,True,True
444,other,B,Subdural hematoma,True,True,True,True,True
445,explanation,B,Conversion disorder,True,True,True,True,True
446,diagnosis,B,Anterior spinal artery syndrome,True,True,True,True,True
447,description,A,Malignancy,False,False,False,False,False
448,diagnosis,A,Pericardial effusion,False,False,False,False,False
449,diagnosis,E,"Glucose: ↓, Proteins: ↑, Cells: 90% neutrophils, Lactic Acid (mmol/l): 4.5",True,True,False,False,False
