question,default_response,truth,decision,judge_raw
"A 59-year-old male presents to his primary care physician with complaints of fatigue. He reports generally good health but has recently experienced weight loss, abdominal pain, and generalized fatigue. His medical history includes anxiety, diabetes, a foot fracture from tripping, and a recent cold that caused him to miss work for a week. Current medication include metformin, insulin, buspirone, vitamin D, calcium, and sodium docusate. Vital sign show a temperature of 99.5°F (37.5°C), blood pressure of 150/100 mmHg, pulse of 90/min, respirations of 18/min, and oxygen saturation of 98% on room air. On physical examination, he appears calm, and a mild systolic murmur is noted in the left upper sternal region. The remainder of the physical exam is unremarkable. Laboratory results are as follows: - Hemoglobin: 12 g/dL - Hematocrit: 36% - Leukocyte count: 66,500/mm³ with normal differential - Platelet count: 177,000/mm³ - Leukocyte alkaline phosphatase: elevated Serum: - Na⁺: 139 mEq/L - Cl⁻: 100 mEq/L - K⁺: 4.3 mEq/L - BUN: 20 mg/dL - Glucose: 120 mg/dL - Creatinine: 1.1 mg/dL - Ca²⁺: 10.9 mEq/L - AST: 12 U/L - ALT: 10 U/L Which is the most likely diagnosis?","Most likely a leukemoid reaction (reactive neutrophilic leukocytosis), not CML. 

Reason: marked leukocytosis with a normal differential and an elevated leukocyte alkaline phosphatase score favors a reactive process. In contrast, CML typically has low LAP, basophilia, and splenomegaly.",Leukemoid reaction,True,CORRECT
"A 1-day-old male neonate is assessed in the labor and delivery unit due to feeding difficulties, rapid breathing, and bluish-grey skin discoloration. He was born at 37 weeks of gestation to a healthy mother who had irregular prenatal care and denies any drug use during pregnancy. His temperature is 98.2 ºF, blood pressure is 70/40 mmHg, pulse is 170/min, and respiratory rate is 56/min. Physical examination reveals a lethargic and cyanotic infant with jugular venous distention. Chest auscultation shows tachypnea, a single second heart sound, and a continuous murmur. A chest X-ray demonstrates reduced pulmonary vascular markings, and an electrocardiogram shows tall P-waves in lead II and low-amplitude R-waves in leads V1-V3. Which congenital cardiac anomaly is most likely in this patient?","Ebstein anomaly — apical displacement of the septal leaflet of the tricuspid valve causing severe tricuspid regurgitation, marked right atrial enlargement (tall P waves, JVD), reduced effective RV output with decreased pulmonary blood flow (cyanosis, reduced pulmonary markings, single S2), and ECG with diminished RV forces. (Classically associated with maternal lithium exposure.)",Enclosed muscular floor within the right atrium,False,WRONG
Which condition listed below is linked to bone enlargement?,"Acromegaly — excess growth hormone in adulthood causes periosteal bone growth and enlargement of the jaw, hands, feet and other bones.",Osteoid osteoma,False,WRONG
"A 45-year-old man presents with a 2-day history of headache and exertional breathlessness. He also reports two episodes of vomiting and anuria during this time. Over the past 2 years, he has experienced progressive pain and stiffness in his fingers. He denies any history of serious illness, medication, smoking, or alcohol use. On examination, he appears moderately distressed. His temperature is 37.2°C (98.9°F), pulse is 88/min, respirations are 24/min, and blood pressure is 170/100 mm Hg. Oxygen saturation on room air is 91%. Physical finding include pallor, 2+ pretibial edema, jugular venous distention, coarse and thickened skin on the arms, chest, and upper back, diffuse hyperpigmentation, hypopigmented patches with perifollicular hypopigmentation, and contractures of the proximal interphalangeal joints. Auscultation of the chest reveals diffuse crackles, with dullness to percussion and decreased breath sounds at the lung bases. Cardiac examination reveals normal S1 and S2 with an S3 gallop at the apex. Laboratory results show a hemoglobin concentration of 8.1 g/dL and a serum creatinine concentration of 5.3 mg/dL. Further evaluation is most likely to reveal which?","Findings of a scleroderma renal crisis — microangiopathic hemolytic anemia with schistocytes on peripheral smear, thrombocytopenia, elevated LDH and indirect bilirubin, low haptoglobin (often with anti–RNA polymerase III antibody positivity).",Decreased serum haptoglobin concentration,True,CORRECT
"A 2-month-old male infant is brought in for a routine health maintenance visit. His growth and development are on track, with height and weight at the 50th percentile, consistent with prior growth measurements. However, his head circumference has increased to the 90th percentile from the 50th percentile noted at his newborn visit. The head appears elongated and narrow, with a prominent occiput and broad forehead. There are no facial dysmorphic features, and the rest of the physical exam is unremarkable. What is the most appropriate initial management for this infant?","This presentation is classic for sagittal craniosynostosis (narrow, elongated skull with frontal bossing and occipital prominence). Do not treat as positional plagiocephaly. The most appropriate initial management is urgent referral to a pediatric neurosurgery/craniofacial team for evaluation and surgical planning (often confirmed with CT 3D reconstruction); early surgical suture release/cranial vault remodeling is indicated (ideally performed in the first few months of life).",Referral to craniofacial specialists,True,CORRECT
"A 15-year-old male presents with a persistent sensation of ""a funny feeling in my head"" following a fall during a skateboarding competition. He denies any other symptom and reports a negative neurological workup both immediately after the accident and several weeks later. On physical examination, there is no acute distress, no head lacerations or abrasions, and no evidence of skull fractures. Neurological examination reveals intact cranial nerves II-XII. Osteopathic structural examination identifies the greater wings of the sphenoid as deviated caudad, giving them a posterior feel. What is the most likely diagnosis for this patient?",Most likely an osteopathic cranial strain — specifically an inferior vertical (spheno‑occipital) strain of the sphenoid (a cranial strain pattern commonly seen after mild head trauma/concussion).,Superior vertical strain,False,WRONG
"A 70-year-old male presents with an 8-month history of fatigue. He reports that he previously walked 2 miles daily but now becomes fatigued after less than half a mile and experiences shortness of breath when climbing one flight of stairs. His medical history includes hypertension and osteoarthritis, and his medication are lisinopril, aspirin, and occasional tylenol for pain. He denies weight loss, visible blood in his stool or urine, and dark stools. His last colonoscopy, performed 8 years ago, revealed benign polyps that were removed. Vital sign show a temperature of 37.2°C (98.9°F), pulse of 110/min, respiratory rate of 16/min, and blood pressure of 132/87 mmHg. On physical examination, conjunctival pallor, pale nail beds, dry skin, and tachycardia with a regular rhythm are noted. Lungs are clear to auscultation, and the abdominal exam is normal. Laboratory results are as follows: | **Laboratory value** | **Result** | | --- | --- | | Hemoglobin | 8.5 g/dL | | Hematocrit | 32% | | MCV | 72 fL | | Fecal occult blood test | Negative | | Iron | 38 μg/dL | | Ferritin | 12 ng/mL | What is the most appropriate next step in management?","This patient has iron‑deficiency anemia (low MCV, low iron, low ferritin). In a man >50, the next step is evaluation for occult GI blood loss—obtain a colonoscopy to look for colorectal cancer (FOBT can be falsely negative). If colonoscopy is unrevealing, proceed with upper endoscopy.",Colonoscopy,True,CORRECT
"A 65-year-old woman presents with mild shortness of breath and a chronic, nonproductive cough. She reports being in good health, has never smoked, and has completed all age-appropriate cancer screenings. Her vital sign are normal, and her oxygen saturation is 95% on room air. A chest X-ray reveals a moderate left pleural effusion without any additional abnormalities. Thoracentesis yields a thin, light-green fluid with the following analysis: | Parameter | Result | | --- | --- | | pH | 7.00 | | Lactate dehydrogenase | 2998 U/L | | Total protein | 3.7 g/dL | | Total glucose | <20 mg/dL | | Leukocyte count | 356/mm³ | | Erythrocyte count | 433/mm³ | Gram stain and acid-fast bacilli smear are negative for organisms, but cytology reveals slender, elongated, spindle-shaped cells. Which additional physical examination finding is most likely in this patient?","Digital clubbing of the fingers.

Rationale: spindle‑shaped malignant cells in a low‑pH, low‑glucose exudative effusion are most consistent with sarcomatoid malignant mesothelioma (asbestos‑related), which is often associated with digital clubbing (and pleural thickening/plaques).",Synovitis of the metacarpophalangeal joints and subcutaneous nodules,False,WRONG
"A 75-year-old man with a medical history of hypertension, type 2 diabetes, and coronary artery disease presents with progressively worsening shortness of breath over the past two months. He has a 45-pack-year smoking history and has only lived outside the U.S. briefly during military service in Germany. On physical examination, he is afebrile with a respiratory rate of 22 breaths per minute, heart rate of 110 beats per minute, blood pressure of 108/73 mm Hg, and oxygen saturation of 88% on room air. He appears uncomfortable and tachypneic. Auscultation reveals diminished breath sounds, dullness to percussion, and decreased tactile fremitus in the lower third of the left lung field. The right lung is clear to auscultation. Chest CT with intravenous contrast shows a large left pleural effusion with no pulmonary parenchymal abnormalities, pleural thickening, or evidence of pulmonary embolism. A diagnostic thoracentesis yields 1400 mL of bloody fluid with the following analysis: | | Patient value | | --- | --- | | Leukocyte count (per mm³) | 328 | | Lymphocytes (%) | 53 | | Polymorphonuclear cells (%) | 26 | | Monocytes/macrophages (%) | 10 | | Mesothelial cells (%) | 10 | | Erythrocyte count (per mm³) | 52,476 | | Hematocrit (%) | <5 | | pH | 7.36 | | Lactate dehydrogenase (U/L) | 374 | | Total protein (g/dL) | 2.5 | | Total glucose (mg/dL) | 127 | Pleural fluid Gram stain and cultures are negative. Cytopathology is negative for malignancy, and the adenosine deaminase level is 2 U/L. Blood test results are as follows: | | Patient value | Reference range | | --- | --- | --- | | Leukocyte count (per mm³) | 6700 | 4500–11,000 | | Hemoglobin (g/dL) | 9.0 | 13.5–17.5 | | Hematocrit (%) | 27.8 | 41.0–53.0 | | Lactate dehydrogenase (U/L) | 375 | 100–190 | | Total protein (g/dL) | 5.4 | 5.5–8.0 | What is the most appropriate next step to determine the cause of this patient’s pleural effusion?","Because this is a bloody, lymphocyte-predominant exudative effusion with negative cytology but high suspicion for malignancy, the next best step is obtaining pleural tissue — perform a thoracoscopic (video‑assisted or medical pleuroscopy) pleural biopsy for histopathology (and cultures). This has the highest diagnostic yield for malignant or otherwise occult pleural disease.",Repeat thoracentesis with cytopathologic study,False,WRONG
"A 9-year-old female presents with shortness of breath and new-onset cyanosis. She has dextrocardia, a double inlet left ventricle with malposition of the great arteries and pulmonary atresia, an extracardiac fenestrated Fontan, and has had a left pulmonary artery patch augmentation. Her vital sign are significant for saturation of 81%, a RR of 40, and her physical exam is notable for tachycardia, a normal S1, and a single S2. Today’s ECG demonstrates sinus rhythm and an echocardiogram demonstrates normal systemic left ventricular systolic function. Which additional testing would diagnose the cause of her new onset cyanosis?","Cardiac catheterization with hemodynamic assessment and angiography of the Fontan circuit.  
This will define fenestration right‑to‑left shunt, conduit/PA obstruction, systemic–pulmonary collaterals or pulmonary AVMs and establish the cause of her new cyanosis.",An activated protein C resistance ratio of 0.3,False,WRONG
A 28-year-old man comes to the osteopathic clinic because of recurrent migraine headaches for the past 3 months. The patient denies any trauma. medication offer only temporary relief and he is interested in trying osteopathic manipulative treatment. Physical examination reveals a strain at the sphenobasilar synchondrosis (SBS); the sacral base is tilted anteriorly. Further evaluation is most likely to show which?,An increased lumbar lordosis with anterior pelvic tilt — classically with tight hip flexors (iliopsoas/rectus femoris) and weak abdominal/gluteal muscles.,Internal rotation of the parietal and temporal bones,False,WRONG
"A 4-month-old male infant is evaluated during a routine well-child check. The parents report difficulty weaning him from nighttime feedings, noting that he becomes extremely distressed after 3-4 hours without feeding and is only consoled by being fed. Growth assessment reveals a decline from the 25th to the 5th percentile in length, while weight remains at the 25th percentile. Physical examination reveals distinctive facial fullness, significantly distended abdomen, and thin limbs. The liver edge extends to the iliac crest, but the spleen is not enlarged. A blood sample demonstrates a characteristic milky white layer on its surface. Which is the most probable diagnosis?","von Gierke disease (Glycogen storage disease type I — glucose-6-phosphatase deficiency).  

Features fit: severe fasting hypoglycemia with distress relieved by feeding, ""doll‑like"" facies, protuberant abdomen from hepatomegaly (no splenomegaly), thin extremities, and marked hyperlipidemia producing milky plasma.",Glycogen storage disease type 1,True,CORRECT
"A 15-year-old girl with a history of phenylketonuria (PKU), diagnosed via newborn screening, attends a well visit. At birth, her confirmatory phenylalanine level was 19.0 mg/dL (normal newborn range: 1.2–3.4 mg/dL). During early childhood, her average phenylalanine level was maintained at 5 mg/dL (treatment range: 2–6). Currently, she expresses discomfort about consuming phenylalanine-free formula at school due to its strong odor and the lack of refrigeration options. She wishes to start purchasing school cafeteria meals and plans to follow a vegetarian diet. What potential effects, if any, are expected from an unrestricted vegetarian diet in this patient?","An unrestricted vegetarian diet will almost certainly increase her dietary phenylalanine intake (many vegetarian staples — dairy, eggs, soy, legumes, nuts — are high in Phe) and raise her plasma phenylalanine above the current treatment range. That rise can produce the same problems seen with poor control of PKU: cognitive decline (worsening attention, executive function, learning and IQ), mood/psychiatric symptoms, and other neurologic sequelae (and in severe uncontrolled cases seizures, musty odor, hypopigmentation). Because PKU requires continued Phe restriction or medical therapy, she should not abandon the prescribed low‑Phe regimen without metabolic-clinic supervision and frequent phenylalanine monitoring.","Mood dysregulation, inattentiveness, and hyperactivity",True,CORRECT
"A 64-year-old male arrives at the emergency department via ambulance with symptom that began two hours ago, including difficulty speaking, right facial numbness, and weakness in his right arm and leg. His medical history includes type 2 diabetes mellitus, hypertension, hyperlipidemia, and a 25 pack-year smoking history. He takes insulin, metformin, lisinopril, and simvastatin. His vital sign show: temperature 37.0°C (98.6°F), heart rate 80/min, respiratory rate 16/min, and blood pressure 140/85 mmHg. Physical examination reveals an alert patient who follows commands but cannot correctly identify the current month or his age. He exhibits right facial droop, right-sided limb drift, and diminished sensation on the right side, without eye deviation. What should be the immediate next step in managing this patient?","Obtain an immediate noncontrast CT scan of the head to exclude intracranial hemorrhage. He is within the 4.5-hour window for IV alteplase, so CT (and rapid glucose check/coagulation labs and BP assessment) is required to determine eligibility for thrombolysis.",Fingerstick glucose level,False,WRONG
"A 34-year-old female presents to the emergency department with chest discomfort, describing a sensation of something stuck in her chest. This is her third episode this month, with previous incidents occurring at the gym while consuming sports drinks, resolving after brief rest. The current episode, triggered by news of her father's heart attack, lasted 15 minutes. She reports several months of intermittent swallowing difficulties but denies palpitations, sweating, or breathing problems. Her medical history includes obesity and chronic GERD managed with daily omeprazole. Her mother has scleroderma. She drinks socially but doesn't use tobacco or illicit drug. Vital sign show temperature 98.4°F (36.8°C), blood pressure 143/82 mmHg, pulse 89/min, and respirations 16/min. Physical examination reveals mild discomfort but no acute distress, normal heart sounds without murmurs or gallops, and clear lung fields. What is the most appropriate test to confirm the diagnosis?","High-resolution esophageal manometry — it is the diagnostic gold standard to document the uncoordinated, simultaneous contractions of diffuse/segmental esophageal spasm (barium swallow can show a ""corkscrew"" esophagus but manometry confirms the diagnosis).",Esophageal manometry,True,CORRECT
"A 52-year-old African American male presents to his primary care physician reporting leg swelling that started approximately two weeks ago without any identifiable trigger. He also mentions joint pain, headaches, frothy urine, and tingling in his fingers and toes, though he does not believe these symptom are related to the swelling. He denies shortness of breath, back pain, or skull pain. His medical history includes well-controlled rheumatoid arthritis, diabetes, and hypertension. On physical examination, there is 3+ pitting edema in both legs. A chest radiograph shows mild cardiac enlargement. Urinalysis reveals 3+ proteinuria and casts with a cross-like appearance under polarized light. Renal biopsy demonstrates a characteristic finding visible only under polarized light. Which is most associated with the likely cause of this patient’s edema?","Massive proteinuria → hypoalbuminemia → decreased plasma oncotic (colloid) pressure, causing fluid to shift into the interstitium (nephrotic‑syndrome–related edema).",Elevated levels of IL-6,False,WRONG
"A 5-year-old female child is brought to a medical office with complaints of progressive abdominal pain that has intensified in the last 24 hours. The father reports a history of constipation, with no bowel movement for the past 72 hours and no bloody stools. She has experienced three episodes of vomiting since the previous night and is refusing food. Her medical and surgical history is unremarkable. Physical examination reveals upper abdominal distention with tympany, but no abdominal mass, involuntary guarding, or rebound tenderness is detected. What is the most probable underlying etiology of her clinical presentation?","Most likely a proximal small‑bowel obstruction from midgut volvulus due to congenital malrotation (Ladd's bands). The picture of progressive vomiting, upper abdominal tympanic distension without prior surgery (no adhesions) in a child suggests an intermittent/acute obstructive lesion from malrotation/volvulus rather than intussusception or adhesive obstruction.",Malrotation of the gut,True,CORRECT
"A 4-year-old boy is brought to the clinic for a routine well-child checkup. He began walking at 20 months of age. He is able to drink from a cup but cannot use silverware. He speaks in 2-word phrases and can stack 4 blocks. He can scribble but is unable to draw a circle. His height is above the 99th percentile, and his weight is at the 15th percentile. Vital sign are normal. On examination, he has bilateral inferior lens dislocation, long slender fingers, a high-arched palate, and hyperelastic skin. When he wraps one hand around the opposite wrist, his thumb and fifth finger overlap. What is the most likely cause of these finding?","Findings are most consistent with homocystinuria due to cystathionine β-synthase (CBS) deficiency (autosomal recessive) → accumulation of homocysteine (and methionine). Characteristic features: marfanoid habitus, developmental delay, intellectual disability, inferior/medial lens subluxation, and hypercoagulability.",Cystathionine synthase deficiency,True,CORRECT
"A 43-year-old woman visits the primary care clinic for her annual checkup. Four days ago, she had a tooth extraction due to an infection and has since been taking amoxicillin-clavulanate. She was also prescribed hydrocodone-acetaminophen 5 mg tablets and has taken two doses per day for the past two days. Her medical history includes diabetes mellitus, mild gastroesophageal reflux disease, and iron deficiency anemia caused by heavy menstrual periods. Her current medication include metformin, ferrous sulfate, and magnesium hydroxide as needed for reflux. She reports feeling well overall but mentions that she has not had a bowel movement in six days, which is unusual for her. Which medication is most likely contributing to her decreased bowel movement frequency?","Ferrous sulfate. Oral iron commonly causes constipation (and dark stools). Other meds here (metformin, amoxicillin-clavulanate) more often cause diarrhea, magnesium hydroxide is a laxative, and hydrocodone could cause constipation but she’s only been taking it for 2 days whereas her constipation started earlier.",Levofloxacin,False,WRONG
"A 43-year-old male patient attends a routine primary care visit where urinalysis reveals 3+ protein and 1–2 red blood cells per high-power field, with no other abnormalities. He has no symptom, no relevant family history, and denies smoking or alcohol use. His vital sign include a temperature of 36.7°C (98.06°F), blood pressure of 130/82 mm Hg, and a pulse rate of 78/min. Physical examination finding are unremarkable. What is the next best step in managing this patient’s condition?","Repeat and quantify the proteinuria — obtain a first‑morning urine and measure a urine albumin‑to‑creatinine (or protein‑to‑creatinine) ratio (and check serum creatinine/eGFR). 

Rationale: dipstick 3+ may be transient; you should confirm persistent significant proteinuria and quantify it before further workup or referral.",Repeating the urine dipstick test,True,CORRECT
"A 33-year-old male construction worker is brought to the emergency department with acute confusion after being found unconscious at his worksite. His medical history includes seizure disorder and schizophrenia, for which he takes haloperidol. He underwent an appendectomy two months ago. On examination, his vital sign show: temperature 105°F (40.6°C), blood pressure 120/84 mmHg, heart rate 150/min, respiratory rate 19/min, and oxygen saturation 99% on room air. The patient is confused and non-communicative, with sweat-soaked clothing. While he shows no clear focal neurologic deficits, he lacks purposeful movement of his extremities. What is the most likely diagnosis?","Exertional heat stroke.

Rationale: acute collapse while working outdoors, core temperature >40°C with altered mental status and diaphoresis in a young exerting patient strongly fits exertional heat stroke. Neuroleptic malignant syndrome is less likely because it typically develops over days–weeks after antipsychotic initiation/dose change and presents with prominent ""lead‑pipe"" rigidity rather than acute collapse at a worksite.",Exertional heat stroke,True,CORRECT
"A comatose male patient of middle age is brought to the emergency department with active rectal bleeding. He has no known medical history. His vital sign show: pulse 110/min, blood pressure 90/60 mm Hg, respiratory rate 26/min, and oxygen saturation 96% on room air. His extremities are cold. Laboratory results reveal: hemoglobin 7.6 g/dL, hematocrit 30%, BUN 33 mg/dL, and normal PT/aPTT. After initial resuscitation with IV fluids and blood transfusion, his vital sign stabilize. A nasogastric tube insertion shows bile-stained fluid without blood. Rectal examination and proctoscopy demonstrate significant active bleeding at an estimated rate of 2-3 mL/min, with no evident hemorrhoids or fissures. What should be the next diagnostic step?","Urgent mesenteric angiography (mesenteric arteriography) with intent to localize and possibly embolize the bleeding vessel. 

Rationale: NG tube excludes upper GI source and the rectal bleed rate (2–3 mL/min) is brisk—too fast for reliable colonoscopy and well within the detection/therapeutic range for angiography (≈0.5 mL/min threshold).",Mesenteric angiography,True,CORRECT
