model,arm,from,to,from_short,to_short,delta,abs_delta,direction,n,n_ordinal_pairs,pct_of_ordinal
gemini,content_format,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,-2,2,down,46,2671,1.722
gemini,content_format,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,2,2,up,41,2671,1.535
gemini,content_format,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,-3,3,down,24,2671,0.899
gemini,content_format,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,3,3,up,20,2671,0.749
gemini,content_format,Seek same-day in-person care,Self-care at home,Same-day,Home,2,2,up,7,2671,0.262
gemini,content_format,Call 911 / Emergency Services,Schedule non-urgent medical appointment,911,Non-urgent,4,4,up,4,2671,0.15
gemini,content_format,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,-4,4,down,3,2671,0.112
gemini,content_format,Self-care at home,Call 911 / Emergency Services,Home,911,-5,5,down,2,2671,0.075
gemini,content_format,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,-2,2,down,2,2671,0.075
gemini,content_format,Self-care at home,Seek same-day in-person care,Home,Same-day,-2,2,down,2,2671,0.075
gemini,content_format,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,2,up,2,2671,0.075
gemini,content_format,Self-care at home,Go to the emergency department now,Home,ED,-4,4,down,1,2671,0.037
gemini,remove_all,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,-2,2,down,61,2656,2.297
gemini,remove_all,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,-3,3,down,46,2656,1.732
gemini,remove_all,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,2,2,up,31,2656,1.167
gemini,remove_all,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,3,3,up,29,2656,1.092
gemini,remove_all,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,-4,4,down,10,2656,0.377
gemini,remove_all,Seek same-day in-person care,Self-care at home,Same-day,Home,2,2,up,9,2656,0.339
gemini,remove_all,Self-care at home,Seek same-day in-person care,Home,Same-day,-2,2,down,5,2656,0.188
gemini,remove_all,Self-care at home,Call 911 / Emergency Services,Home,911,-5,5,down,4,2656,0.151
gemini,remove_all,Self-care at home,Go to the emergency department now,Home,ED,-4,4,down,4,2656,0.151
gemini,remove_all,Call 911 / Emergency Services,Schedule non-urgent medical appointment,911,Non-urgent,4,4,up,4,2656,0.151
gemini,remove_all,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,2,up,3,2656,0.113
gemini,remove_all,Call 911 / Emergency Services,Seek same-day in-person care,911,Same-day,3,3,up,2,2656,0.075
gemini,remove_all,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,-2,2,down,1,2656,0.038
gemini,remove_all,Go to the emergency department now,Self-care at home,ED,Home,4,4,up,1,2656,0.038
gemini,ct_old,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,-2,2,down,58,2671,2.171
gemini,ct_old,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,2,2,up,31,2671,1.161
gemini,ct_old,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,3,3,up,22,2671,0.824
gemini,ct_old,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,-3,3,down,17,2671,0.636
gemini,ct_old,Seek same-day in-person care,Self-care at home,Same-day,Home,2,2,up,6,2671,0.225
gemini,ct_old,Call 911 / Emergency Services,Schedule non-urgent medical appointment,911,Non-urgent,4,4,up,5,2671,0.187
gemini,ct_old,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,-4,4,down,4,2671,0.15
gemini,ct_old,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,2,up,3,2671,0.112
gemini,ct_old,Self-care at home,Go to the emergency department now,Home,ED,-4,4,down,1,2671,0.037
gemini,ct_old,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,-2,2,down,1,2671,0.037
gemini,ct_old,Self-care at home,Seek same-day in-person care,Home,Same-day,-2,2,down,1,2671,0.037
gemini,ct_old,Call 911 / Emergency Services,Seek same-day in-person care,911,Same-day,3,3,up,1,2671,0.037
gemini,ct_old,Go to urgent care,Self-care at home,UC,Home,3,3,up,1,2671,0.037
gemini,ct_old,Call 911 / Emergency Services,Self-care at home,911,Home,5,5,up,1,2671,0.037
gemini,ct_new,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,-2,2,down,44,2660,1.654
gemini,ct_new,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,2,2,up,31,2660,1.165
gemini,ct_new,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,3,3,up,27,2660,1.015
gemini,ct_new,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,-3,3,down,15,2660,0.564
gemini,ct_new,Call 911 / Emergency Services,Schedule non-urgent medical appointment,911,Non-urgent,4,4,up,5,2660,0.188
gemini,ct_new,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,-4,4,down,3,2660,0.113
gemini,ct_new,Seek same-day in-person care,Self-care at home,Same-day,Home,2,2,up,3,2660,0.113
gemini,ct_new,Self-care at home,Call 911 / Emergency Services,Home,911,-5,5,down,2,2660,0.075
gemini,ct_new,Self-care at home,Seek same-day in-person care,Home,Same-day,-2,2,down,2,2660,0.075
gemini,ct_new,Self-care at home,Go to the emergency department now,Home,ED,-4,4,down,1,2660,0.038
gemini,ct_new,Schedule non-urgent medical appointment,Go to urgent care,Non-urgent,UC,-2,2,down,1,2660,0.038
gemini,ct_new,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,2,up,1,2660,0.038
